Record Type|Document Number|Local Report Number|Crash Severity|Private Property Indicator|Hit/Skip|Photos Taken|Reporting Agency NCIC|Number of Units|Unit in Error|Crash Date|Time of Crash|Day of Week|In City, Village, Township|FIPS Place Code|Enter Name of City, Village, Township|County|Latitude|Longitude|Crash/Loc Prefix|Location Road Name|Location Road Type|Distance from Reference|Direction from Reference|Ref Road Prefix|Reference Road Name|Reference Route Type|Reference Point Used|Crash Location|Location of First Harmful Event|Road Contour|Road Conditions - Primary|Road Conditions - Secondary|Manner of Crash Collision/Impact|Weather|Light Conditions - Primary|Light Conditions - Secondary|School Bus Related|Work Zone Related|Type of Work Zone|Location of Crash in Work Zone|Workers Present|Road Surface|Number of Lanes|Alcohol Related|Drug Related|Total Injured|Total Killed|Animal Related|Bicycle Related|Motorcycle Related|Speed Related|Pedestrian Related|Semi-Truck Related|Small Truck Related|Youth Related|Teen Related|Drinking Driver <21 Related|Senior Related|Local Information|Divided/Undivided roadway|Divided Lane Direction of Travel|Location Route Number|Location Route Type|Distance from Reference Measurement|Reference Route Number|Intersection Related|School Zone Related|Law Enforcement Present in Work Zone|Reference Road Type
C|20146003404|76-0084-76|2|0|0|1|OHP76|1|1|1082014|2034|4|3|75208|Sugar Creek (Township of)|76|40.691472|81.59599||||0.2|E||4||2|1|4|1|3||1|6|5||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|1|0|0|0|1|0|0|0||2||62|US|1||0|0|1|MP
C|20146003504|14GAH-841-AC|3|0|0|0|02504|2|1|1102014|751|6|1|29106|Gahanna|25|39.991095|82.85699||IR 270 NB|HW|0.0|||38.6||2|1|1|1|2||2|2|2|1.0|1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|D3|1|N|270|IR|0||0|0|0|MP
C|20146003604|03-0018-85|3|0|0|1|OHP03|1|98|1042014|2345|7|3|18308|Congress|85|40.949105|82.07753000000002||||0.2|N||198||2|1|1|1|1||1|1|5||1|0|0|0|0.0|2|3|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0||1|S|71|IR|1||0|0|1|MP
C|20146003704|70-0039-70|3|0|0|1|OHP70|1|1|1062014|500|2|3|46578|Madison (Township of)|70|40.779766|82.4481||Becky|RD|20.0|E||Twin||1|1|2|1|3||1|5|5||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0||2||||2||0|0|1|LA
C|20146003804|76-0007-76|2|0|0|1|OHP76|1|1|1012014|2251|4|3|59850|Paris (Township of)|76|40.797701|81.16554000000002||||0.2|W||26||2|1|2|4|1|4.0|1|1|5||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|1|0|0|1|0|0|0|0||2||172|SR|0||0|0|1|MP
C|20146003904|14GAH-934-AC|3|0|0|0|02504|2|2|1112014|428|7|1|29106|Gahanna|25|40.02639|82.90391||IR 270 SB|HW|200.0|S||34.4||2|1|1|2|2||6|4|4||1|0|0|0|0.0|2|5|0|0|0|0|0|0|0|1|0|0|1|1|0|0|0|district 1|1|S|||2||0|0|1|MP
C|20146004004|81-0014-63|3|0|0|1|OHP81|1|1|1052014|440|1|3|61252|Paulding|63|41.149875|84.61208||||66.0|E|||CR|1|1|4|1|2|4.0|1|1|5||1|0|0|0|0.0|2|2|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0||2||144|CR|2|97|0|0|1|
C|20146004104|78-0044-78|2|0|0|1|OHP78|1|1|1122014|1523|1|3|36554|Howland (Township of)|78|41.238466|80.74627||||0.3|W|||SR|1|1|4|1|1||1|2|1||1|0|0|0|0.0|2|4|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0||2||329|CR|1|46|0|0|1|
C|20146004204|02-0044-02|2|0|0|1|OHP02|2|2|1072014|1224|3|3|2988|Auglaize (Township of)|2|40.673012|83.95669000000002||||0.2|E||26||2|1|1|2|4|3.0|2|1|1||1|0|0|0|0.0|2|2|0|0|1|0|0|0|0|1|0|0|1|0|0|0|0||2||117|SR|1||0|0|1|MP
C|20146004304|201400074|3|0|0|1|04702|1|1|1122014|1043|1|1|3352|Avon|47|41.457448|82.04049||BRIDGEPOINT|TL|50.0|W||COLORADO|SR|1|1|2|1|1||1|2|1||1|0|0|0|0.0|1|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||||2|611|0|0|1|AV
