date,team
20180521,WAS
20180521,BAL
20180521,MIN
20180521,NYA
20180522,CLE
20180522,CIN
20180522,LAN
20180522,MIL
20180522,MIA
20180522,ATL
20180522,KCA
20180522,WAS
20180522,CHA
20180522,HOU
20180522,MIN
20180522,SEA
20180522,BOS
20180522,TEX
20180522,TOR
20180523,CLE
20180523,PIT
20180523,LAN
20180523,MIL
20180523,MIA
20180523,PHI
20180523,KCA
20180523,SDN
20180523,CHA
20180523,HOU
20180523,DET
20180523,SEA
20180523,BOS
20180523,TEX
20180523,ANA
20180524,CIN
20180524,NYN
20180524,BAL
20180524,HOU
20180524,OAK
20180524,TBA
20180524,KCA
20180524,ANA
20180525,CHN
20180525,COL
20180525,LAN
20180525,WAS
20180525,MIL
20180525,TOR
20180525,PIT
20180525,BOS
20180525,HOU
20180525,DET
20180525,NYA
20180525,ARI
20180525,SEA
20180525,BAL
20180525,TEX
20180526,SFN
20180526,CIN
20180526,SDN
20180526,WAS
20180526,MIL
20180526,PHI
20180526,SLN
20180526,BOS
20180526,CLE
20180526,CHA
20180526,ANA
20180526,OAK
20180526,SEA
20180526,TBA
20180526,TEX
20180527,CHN
20180527,COL
20180527,LAN
20180527,WAS
20180527,MIL
20180527,TOR
20180527,SLN
20180527,ATL
20180527,CLE
20180527,DET
20180527,NYA
20180527,OAK
20180527,SEA
20180527,TBA
20180527,KCA
20180528,ARI
20180528,ATL
20180528,NYN
20180528,COL
20180528,LAN
20180528,MIL
20180528,CHN
20180528,MIA
20180528,WAS
20180528,BOS
20180528,CLE
20180528,DET
20180528,MIN
20180528,HOU
20180528,TBA
20180528,SEA
20180529,ARI
20180529,ATL
20180529,COL
20180529,PHI
20180529,SLN
20180529,CHN
20180529,SDN
20180529,WAS
20180529,BOS
20180529,CLE
20180529,ANA
20180529,KCA
20180529,NYA
20180529,TBA
20180529,TEX
20180530,CIN
20180530,NYN
20180530,SFN
20180530,LAN
20180530,MIL
20180530,PIT
20180530,SDN
20180530,WAS
20180530,BOS
20180530,CLE
20180530,DET
20180530,KCA
