maxTemp,minTemp,wind,longitude,latitude
35.52,18.46,17.17,-87.7,46.6
35.95,18.37,16.4,-87.7,46.7
37.72,16.98,11.91,-87.7,46.8
38.7,27.91,18.7,-87.6,45.1
37.93,27.58,20.03,-87.6,45.2
37.28,26.54,20.23,-87.6,45.3
36.93,26.06,20.25,-87.6,45.4
36.73,25.23,18.94,-87.6,45.5
36.28,24.16,18.55,-87.6,45.6
36.43,23.8,17.57,-87.6,45.7
35.92,22.91,17.49,-87.6,45.8
35.85,22.61,17.28,-87.6,45.9
35.87,22.51,16.76,-87.6,46.0
35.9,21.53,17.54,-87.6,46.1
35.87,20.9,17.44,-87.6,46.2
35.58,19.88,17.63,-87.6,46.3
35.27,18.91,17.33,-87.6,46.4
35.42,18.26,17.17,-87.6,46.5
35.56,18.41,17.01,-87.6,46.6
35.83,18.4,16.67,-87.6,46.7
37.28,26.55,20.16,-87.5,45.3
36.94,25.62,19.09,-87.5,45.4
36.65,24.89,18.46,-87.5,45.5
36.57,24.55,18.31,-87.5,45.6
36.28,23.51,17.59,-87.5,45.7
36.21,23.19,17.39,-87.5,45.8
35.99,22.7,17.13,-87.5,45.9
36.03,22.55,17.84,-87.5,46.0
35.97,21.65,17.58,-87.5,46.1
35.94,20.72,18.08,-87.5,46.2
35.59,19.59,18.35,-87.5,46.3
35.33,18.76,17.79,-87.5,46.4
35.38,18.25,16.09,-87.5,46.5
35.5,18.42,16.24,-87.5,46.6
36.93,25.64,19.12,-87.4,45.4
36.68,24.94,18.49,-87.4,45.5
36.43,24.21,18.21,-87.4,45.6
36.33,23.61,17.67,-87.4,45.7
36.25,23.28,17.47,-87.4,45.8
36.2,22.83,17.81,-87.4,45.9
36.03,22.57,17.85,-87.4,46.0
36.08,21.57,18.21,-87.4,46.1
36.0,20.83,18.14,-87.4,46.2
35.64,19.38,18.49,-87.4,46.3
35.36,18.65,17.77,-87.4,46.4
36.01,18.17,13.63,-87.4,46.5
36.55,24.65,18.46,-87.3,45.5
36.48,25.03,17.9,-87.3,45.6
36.4,24.35,17.37,-87.3,45.7
36.31,23.94,17.2,-87.3,45.8
36.23,23.26,17.49,-87.3,45.9
36.08,22.66,17.28,-87.3,46.0
36.1,21.6,18.22,-87.3,46.1
36.04,20.85,18.11,-87.3,46.2
35.82,19.71,18.08,-87.3,46.3
35.6,19.1,17.28,-87.3,46.4
36.42,24.7,17.84,-87.2,45.7
36.39,24.14,17.37,-87.2,45.8
36.27,23.36,17.56,-87.2,45.9
36.09,22.69,17.32,-87.2,46.0
36.13,21.61,18.23,-87.2,46.1
36.1,20.91,18.08,-87.2,46.2
35.98,19.97,17.83,-87.2,46.3
35.84,19.32,16.85,-87.2,46.4
36.64,25.17,18.0,-87.1,45.7
36.49,24.43,17.54,-87.1,45.8
36.22,23.49,17.11,-87.1,45.9
36.14,22.47,17.26,-87.1,46.0
36.17,21.62,18.24,-87.1,46.1
36.13,20.61,18.0,-87.1,46.2
36.12,20.05,17.76,-87.1,46.3
36.05,19.51,17.14,-87.1,46.4
35.92,19.08,16.89,-87.1,46.5
36.25,23.16,17.6,-87.0,45.9
36.17,22.46,17.31,-87.0,46.0
36.2,21.82,17.01,-87.0,46.1
36.19,20.56,18.0,-87.0,46.2
36.17,19.73,17.78,-87.0,46.3
